,STREET_NAME,TOSTREET,FROMSTREET
1,,1,1
2,100 AV,2,24
3,100 DR,4,2
4,102 ST,8,3
5,103 ST,2,2
6,108 ST,1,4
7,10 AV,32,25
8,10 ST,3,11
9,10TH AV,3,1
10,111 ST,5,1
11,113 PL,10,10
12,113 ST,105,1
13,114 ST,2,8
14,11 AV,7,10
15,11 PL,12,2
16,11 ST,1,28
17,121 AV,28,7
18,12 AV,8,6
19,12 ST,4,1
20,133 ST,4,8
21,134 ST,1,7
22,135 AV,3,26
23,135 ST,5,4
24,137 ST,12,26
25,141 ST,5,5
26,142 ST,10,4
27,150 ST,4,6
28,151 ST,2,2
29,153 ST,4,2
30,155 AV,2,3
31,157 AV,23,37
32,159 AV,4,3
33,15 ST,26,7
34,164 ST,43,16
35,165 AV,78,1
36,16 ST,19,1
37,170 ST,7,2
38,196 ST,12,7
39,199 ST,50,1
40,19 ST,19,1
41,1 AV,40,4
42,1 AVE,19,32
43,1 ST,4,23
44,20 AV,21,1
45,20 ST,6,14
46,210 ST,40,2
47,21 ST,8,4
48,222 ST,1,8
49,223 ST,3,3
50,231 ST,10,6
51,232 ST,1,1
52,233 ST,9,2
53,23 ST,4,28
54,242 ST,1,7
55,24 AV,17,5
56,25 AV,35,8
57,26 AV,7,14
58,27 AV,7,1
59,29 ST,14,9
60,2 AV,25,44
61,2 ST,4,1
62,33 RD,2,5
63,34 AV,40,13
64,35 AV,2,14
65,35 ST,1,8
66,36 ST,14,1
67,37 AV,15,1
68,37 RD,9,2
69,37 ST,8,2
70,39 AV,5,7
71,3 AV,65,5
72,3 ST,10,6
73,40 ST,23,81
74,41AV,1,1
75,41 ST,24,5
76,44 DR,1,19
77,46 AV,3,9
78,46 RD,1,7
79,47 AVE,1,15
80,47 ST,21,2
81,48 AV,2,8
82,48 ST,9,8
83,49 AV,11,11
84,4 AV,1,1
85,4 ST,18,2
86,50 AV,8,1
87,50 Ave,1,3
88,50 ST,27,1
89,51 AV,11,4
90,51 ST,21,1
91,51 Street,34,49
92,55 DR,5,1
93,56 AV,2,10
94,56 RD,6,16
95,58 AV,1,10
96,59 ST,19,8
97,5 AV,46,8
98,5 AVE,1,31
99,60 LN,1,1
100,60 ST,9,13
101,62 AV,3,106
102,62 ST,1,56
103,64 ST,12,16
104,65 PL,9,3
105,65 ST,34,4
106,66 ST,6,1
107,67 AV,1,47
108,67 ST,3,1
109,68 ST,37,42
110,69 AV,2,4
111,69 AVE,27,6
112,6 AV,17,2
113,6 AVE,9,13
114,73 AV,1,5
115,73 PL,19,1
116,74 ST,3,8
117,76 AV,1,8
118,77 AV,8,1
119,77 RD,29,1
120,78 AV,1,1
121,78 STREET,7,3
122,79 PL,9,1
123,79 PLACE,4,2
124,79 ST BOAT BASIN,5,4
125,7 AV,28,1
126,7 AV S,2,3
127,80 ST,1,8
128,82 AV,3,2
129,83 AV,7,7
130,84 RD,14,1
131,84 ST,6,4
132,86 ST,13,18
133,88 RD,18,1
